epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18634.1,0.26606,0.311,0.81376,0.96126,0.94692,0.98089,0.97295,0.21913,0.33005,0.79566,0.000349979,0.000349979,0.000349979
43,18750.3,0.26607,0.31529,0.81235,0.95149,0.97495,0.98314,0.97627,0.22232,0.29055,0.79195,0.000338198,0.000338198,0.000338198
44,18866.7,0.25259,0.32197,0.81445,0.9479,0.97273,0.97855,0.96462,0.24365,0.33105,0.7955,0.000326417,0.000326417,0.000326417
45,18984.1,0.26426,0.31352,0.82646,0.93312,0.92311,0.97225,0.96672,0.23841,0.38625,0.79356,0.000314636,0.000314636,0.000314636
46,19100.8,0.25719,0.28663,0.81736,0.90483,0.95207,0.97516,0.96466,0.22471,0.39686,0.7889,0.000302855,0.000302855,0.000302855
47,19219.4,0.26118,0.29071,0.8256,0.92384,0.95577,0.97629,0.96755,0.2317,0.36928,0.79133,0.000291074,0.000291074,0.000291074
48,19334.7,0.24406,0.27461,0.82142,0.96429,0.95728,0.97779,0.97326,0.21658,0.28873,0.79065,0.000279293,0.000279293,0.000279293
49,19449.8,0.24583,0.27722,0.80411,0.9616,0.95732,0.97614,0.965,0.21843,0.29455,0.78962,0.000267512,0.000267512,0.000267512
50,19566.9,0.24691,0.28886,0.80196,0.95817,0.96096,0.97724,0.96872,0.22158,0.30506,0.78809,0.000255731,0.000255731,0.000255731
51,19684.5,0.2317,0.2641,0.81648,0.93874,0.95687,0.9737,0.96286,0.22175,0.33184,0.78758,0.00024395,0.00024395,0.00024395
52,20683.7,0.23453,0.25817,0.80747,0.93368,0.9678,0.96426,0.95211,0.22396,0.32314,0.79026,0.000232169,0.000232169,0.000232169
53,20793.9,0.22936,0.2428,0.81721,0.91459,0.93119,0.94852,0.93809,0.21989,0.40424,0.79065,0.000220388,0.000220388,0.000220388
54,20907.9,0.22752,0.24294,0.82193,0.91574,0.92218,0.9508,0.94171,0.21119,0.42191,0.78754,0.000208607,0.000208607,0.000208607
55,21023.8,0.23382,0.26159,0.81958,0.93042,0.94631,0.97227,0.96233,0.20704,0.34584,0.78652,0.000196826,0.000196826,0.000196826
56,21137.8,0.21446,0.23199,0.7986,0.95566,0.96937,0.97667,0.96121,0.21474,0.28772,0.78791,0.000185045,0.000185045,0.000185045
57,21255,0.22034,0.22888,0.80795,0.96112,0.96889,0.97694,0.96491,0.2247,0.27705,0.7906,0.000173264,0.000173264,0.000173264
58,21372.9,0.22701,0.21223,0.81167,0.96262,0.97016,0.97627,0.96414,0.22154,0.2756,0.78831,0.000161483,0.000161483,0.000161483
59,21489.3,0.21996,0.21943,0.79379,0.96028,0.96533,0.97388,0.9648,0.21839,0.30004,0.78769,0.000149702,0.000149702,0.000149702
60,21604,0.21866,0.22132,0.80175,0.95873,0.96568,0.97686,0.97066,0.21083,0.30166,0.78803,0.000137921,0.000137921,0.000137921
61,21720.5,0.1929,0.17169,0.78515,0.95903,0.97115,0.98251,0.97404,0.20565,0.30519,0.78763,0.00012614,0.00012614,0.00012614
62,21835.7,0.19601,0.17685,0.76317,0.96016,0.97249,0.9837,0.97651,0.20989,0.29363,0.78816,0.000114359,0.000114359,0.000114359
63,21952.6,0.19137,0.17164,0.77815,0.96258,0.97328,0.98344,0.97667,0.21403,0.26927,0.78783,0.000102578,0.000102578,0.000102578
64,22067.7,0.19249,0.16912,0.76586,0.97332,0.97538,0.98489,0.97573,0.21404,0.24588,0.78827,9.0797e-05,9.0797e-05,9.0797e-05
65,22184,0.18979,0.17879,0.75559,0.97771,0.98077,0.98569,0.97289,0.21814,0.24116,0.78944,7.9016e-05,7.9016e-05,7.9016e-05
66,22299.1,0.18999,0.17172,0.78645,0.97755,0.97333,0.98369,0.97124,0.21817,0.23352,0.78932,6.7235e-05,6.7235e-05,6.7235e-05
67,22417.7,0.17821,0.16387,0.77424,0.96907,0.9631,0.98294,0.97075,0.21436,0.23542,0.78839,5.5454e-05,5.5454e-05,5.5454e-05
68,22535,0.18336,0.15714,0.77893,0.96844,0.95919,0.98256,0.97313,0.21094,0.23786,0.78785,4.3673e-05,4.3673e-05,4.3673e-05
69,22652.6,0.18121,0.16526,0.78326,0.96831,0.95606,0.98065,0.97122,0.20949,0.24633,0.78757,3.1892e-05,3.1892e-05,3.1892e-05
70,22771.4,0.17988,0.15466,0.75883,0.96802,0.9553,0.98093,0.97147,0.20875,0.2519,0.78741,2.0111e-05,2.0111e-05,2.0111e-05
